C_T,C_T,C_T,C_T,C_T,C_T,C_p,C_p,C_p,C_p,C_p,C_p,\eta,\eta,\eta,\eta,\eta,\eta
St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical,St_model,y_model,St_experiment,y_experiment,St_analytical,y_analytical
0.09960124597948397,0.10877969094026804,0.07271325222967417,0.03741794088699943,0.0953762797163063,0.09177024463001106,0.10138888888888892,0.15805759803921543,0.07361111111111113,0.11455269607843088,0.10347222222222224,0.15359987745097986,0.10205563651461752,0.6320166404793499,0.07329789226022324,0.3380809717258391,0.09647733101039632,0.6472910374247962
0.19713262376086935,0.19999391215235854,0.09618190488752698,0.06619519668821094,0.19784084336982663,0.2016924216443277,0.19861111111111113,0.314736519607843,0.0979166666666667,0.14489889705882325,0.20069444444444445,0.3014552696078431,0.198174757597714,0.6229409035031302,0.09959701383178786,0.48095544356972475,0.20178290850178687,0.6654254149943419
0.29951195754740917,0.33378045192122335,0.12104873322036992,0.1034832634921924,0.3908722871028949,0.5528881763852391,0.30138888888888893,0.6257046568627452,0.12361111111111113,0.1884497549019601,0.39375000000000004,0.9501378676470588,0.3018260565157572,0.533871190966597,0.12288228733320856,0.5354098654270432,0.4100461602338137,0.5979655304356322
0.3953468551193726,0.5000091317714624,0.15514068001258155,0.15773816167294058,0.5907140030642168,1.1972077072151146,0.3951388888888889,1.1221660539215685,0.15625,0.22743566176470575,0.5097222222222222,1.5608149509803924,0.39635765633013936,0.44613011161495697,0.1575488671611049,0.6553727418527593,0.5973476183110403,0.5693388584500909
0.4981056647422305,0.7275424373712676,0.2540154428401839,0.27280456994429614,,,0.5,2.002205882352942,0.2548611111111111,0.4679074754901955,0.5965277777777778,2.123606004901961,0.49863310348196344,0.3688837690197261,0.20309200296337296,0.6250632973223808,,
0.5858396663859495,0.962021977129986,0.3052872956766136,0.31668577574398576,,,0.5895833333333333,3.0899356617647054,0.30972222222222223,0.6299325980392156,,,0.5890306350899188,0.31382853142070943,0.2563236263870458,0.5815823109424991,,
,,0.3565530606654018,0.3622715788832859,,,,,0.3583333333333333,0.7744485294117646,,,,,0.3101821171834929,0.5060871264236809,,
,,0.4112929573749203,0.4351005002181481,,,,,0.4138888888888888,0.9541053921568625,,,,,0.35852743155340994,0.4737090195631467,,
,,0.4874499020871173,0.5111559808029872,,,,,0.4902777777777778,1.2877144607843138,,,,,0.4139294814911303,0.45808536793858334,,
,,0.5802794322067434,0.5188875473076497,,,,,0.5791666666666666,1.753400735294118,,,,,0.49099509089576904,0.40363338842167823,,
,,,,,,,,,,,,,,0.5798734867665856,0.29914762319572097,,
